Rank,University Incubator,Founder Count,Company Count,Capital Raised,Change vs 2024,Institution,Short name
36,"University of Maryland, College Park",435,417,$11.3B,1,University of Maryland-College Park,UMCP
37,"University of California, San Diego",428,409,$12.3B,-3,University of California-San Diego,UC San Diego
38,Boston University,423,408,$16.7B,-4,Boston University,BU
39,"University of Colorado, Boulder",412,398,$9.4B,-5,University of Colorado Boulder,CU Boulder
40,University of Western Ontario,407,373,$5.9B,3,University of Western Ontario,UWO
41,"University of North Carolina, Chapel Hill",401,369,$6.4B,7,University of North Carolina at Chapel Hill,UNC
42,Purdue University,385,361,$9.3B,-2,Purdue University,Purdue
43,National University of Singapore,378,329,$8.9B,8,National University of Singapore,NUS
44,University of British Columbia,375,333,$5.6B,-2,University of British Columbia,UBC
45,Georgetown University,368,361,$17.3B,-4,Georgetown University,Georgetown
46,"Indian Institute of Technology, Madras",361,321,$12.0B,14,Indian Institute of Technology Madras,IIT Madras
T47,Reichman University,357,303,$9.0B,-3,Reichman University,Reichman
T47,"Indian Institute of Technology, Kharagpur",357,303,$16.3B,6,Indian Institute of Technology Kharagpur, IIT Kharagpur
49,"Indian Institute of Technology, Kanpur",337,289,$16.3B,8,Indian Institute of Technology Kanpur,IIT Kanpur
50,University of Oxford,332,318,$12.1B,-2,University of Oxford,Oxford
51,"University of Florida, Gainesville",331,309,$17.0B,-5,University of Florida,UF
52,Ben Gurion University,329,299,$9.5B,-2,Ben-Gurion University of the Negev,BGU
53,Johns Hopkins University,323,301,$10.6B,9,Johns Hopkins University,JHU
T54,Peking University,318,301,$19.3B,17,Peking University,PKU
T54,University of Cambridge,318,306,$14.7B,1,University of Cambridge,Cambridge
56,University of Chicago,313,291,$14.3B,11,University of Chicago,UChicago
57,"Indiana University, Bloomington",308,296,$7.4B,-12,Indiana University - Bloomington,IU
58,"Arizona State University, Tempe",304,293,$6.2B,1,Arizona State University,ASU
59,Northeastern University,303,284,$3.8B,-1,Northeastern University,NEU
60,Washington University in St. Louis,301,277,$14.2B,3,Washington University in St. Louis,WUSTL
61,"University of California, Santa Barbara",296,289,$4.9B,-14,University of California-Santa Barbara,UCSB
62,"University of California, Davis",294,283,$6.2B,-8,University of California-Davis,UC Davis
63,Vanderbilt University,292,285,$7.8B,3,Vanderbilt University,VU
64,Ohio State University,288,272,$6.0B,-8,Ohio State University,OSU
65,"Delhi University, India",284,271,$4.5B,10,Delhi University - India,DU
66,University of Mumbai,280,261,$9.3B,14,University of Mumbai,Mumbai
67,Tufts University,278,266,$8.1B,-15,Tufts University,Tufts
68,University of Melbourne,277,253,$5.4B,15,University of Melbourne,UniMelb
69,Seoul National University,274,237,$9.6B,11,Seoul National University,SNU
70,Trinity College Dublin,268,249,$3.5B,-5,Trinity College Dublin,Trinity-Dublin
71,Monash University,267,249,$3.1B,26,Monash University - Australia,Monash
72,University of Notre Dame,263,246,$4.9B,-1,University of Notre Dame,ND
T73,"University of Arizona, Tucson",262,247,$8.9B,0,University of Arizona - Tucson,Arizona
T73,Boston College,262,256,$9.5B,-6,Boston College,BC
75,"University of Minnesota, Twin Cities",254,240,$4.8B,-14,University of Minnesota,UMN
76,Texas A & M University - College Station,253,233,$5.8B,-7,Texas A & M University - College Station,TAMU
77,University of Massachusetts,247,244,$5.5B,-13,University of Massachusetts Amherst,UMass Amherst
T78,Queen’s University - Canada,246,221,$7.5B,-4,Queen's University - Canada,Queens
T78,Emory University,246,238,$7.2B,1,Emory University,Emory
80,London School of Economics,242,236,$6.3B,8,London School of Economics and Political Science,LSE
81,Rutgers University,239,230,$6.2B,-5,Rutgers University-New Brunswick,RU
T82,California Polytechnic University,238,224,$6.2B,-5,California Polytechnic State University,Cal Poly
T82,University of Sydney,238,229,$4.6B,3,University of Sydney,USYD
84,State University of New York (SUNY),227,223,$5.0B,-14,State University of New York,SUNY
85,Michigan State University,222,213,$3.6B,-3,Michigan State University,MSU
86,Birla Institute of Technology and Science (BITS Pilani),221,190,$4.0B,18,Birla Institute of Technology and Science,BITS Pilani
87,Virginia Polytechnic Institute,220,211,$4.6B,-1,Virginia Polytechnic Institute and State University,Virginia Tech
88,California State University,214,207,$4.4B,-10,California State University,CSU
89,Syracuse University,213,202,$3.8B,1,Syracuse University,Syracuse
T90,"University of California, Irvine",210,202,$10.9B,-4,University of California-Irvine,UCI
T90,George Washington University,210,202,$3.6B,-1,George Washington University,GW
T90,Bar-Ilan University,210,197,$8.9B,0,Bar-Ilan University,BIU
T90,Copenhagen Business School,210,189,$3.0B,7,Copenhagen Business School,CBS
94,University of New South Wales,205,190,$9.0B,-1,University of New South Wales ( UNSW Sydney), UNSW Sydney
95,Imperial College London,203,194,$4.1B,-3,Imperial College London,ICL
T96,"University of Utah, Salt Lake City",195,179,$4.5B,-1,University of Utah,Utah
T96,University College Dublin,195,185,$2.8B,-2,University College Dublin,UCD
T98,University of Cape Town,190,169,$2.7B,10,University of Cape Town,UCT
T98,Rensselaer Polytechnic,190,180,$5.5B,-14,Rensselaer Polytechnic Institute,RPI
T100,York University - Canada,189,179,$2.5B,7,York University - Canada,York
T100,University of Calgary,189,166,$3.4B,27,University of Calgary,U of C
