Position,Institution,Short name,Count,Share
1686,Howard University,Howard,61,4.38
1689,Illinois State University,Illinois State,9,4.36
1698,Oakland University,Oakland,14,4.33
1699,Florida Institute of Technology,Florida Tech,95,4.33
1722,North Dakota State University,NDSU,15,4.18
1747,Barnard College,Barnard,12,4.06
1787,Jackson State University,Jackson State,28,3.83
1788,Clarkson University,Clarkson,12,3.82
1789,Texas State University - San Marcos,Texas State,35,3.82
1795,Illinois Institute of Technology,IIT,28,3.79
1811,Temple University Health System,TUHS,39,3.75
1816,Florida Agricultural and Mechanical University,FAMU,23,3.73
1826,Amherst College,Amherst,17,3.69
1827,Texas Tech University Health Sciences Center,TTUHSC,21,3.69
1832,East Carolina University,ECU,26,3.68
1846,Northern Illinois University,NIU,71,3.62
1850,University of Massachusetts Boston,UMass Boston,19,3.61
1916,St. John's University,St,7,3.33
1925,Miami University,Miami,12,3.3
1951,University of Richmond,University Richmond,21,3.22
1965,San Francisco State University,SF State,38,3.18
1969,University of North Carolina at Wilmington,UNCW,14,3.17
2022,Central Michigan University,Central,35,2.98
2049,Loma Linda University,LLU,19,2.9
2055,American University,American,25,2.87
2066,Catholic University of America,CUA,98,2.85
2067,Wellesley College,Wellesley,15,2.84
2072,Creighton University,Creighton,44,2.83
2080,Montclair State University,Montclair State,10,2.81
2096,Embry-Riddle Aeronautical University,ERAU,30,2.75
2135,University of North Dakota,UND,25,2.67
2147,Villanova University,Villanova,17,2.65
2157,"Southern Illinois University, Carbondale",SIU,16,2.61
2162,"California State University, Long Beach",CSULB,24,2.6
2170,San Jose State University,SJSU,39,2.58
2174,University of Colorado Health,UCHealth,34,2.57
2184,Williams College,Williams,14,2.56
2223,Middle Tennessee State University,MTSU,10,2.47
2257,University of Louisiana at Lafayette,UL Lafayette,23,2.41
2267,Colby College,Colby,11,2.39
2292,Fordham University,Fordham,6,2.33
2298,State University of New York College of Environmental Science and Forestry,SUNY-ESF,19,2.32
2310,Western University of Health Sciences,WesternU,9,2.29
2321,Furman University,Furman,5,2.27
2326,University of San Francisco,USF-2,19,2.26
2329,Colgate University,Colgate,8,2.25
2340,Texas Christian University,TCU,6,2.23
2348,Towson University,Towson,5,2.21
2361,University of Massachusetts Dartmouth,UMass Dartmouth,14,2.19
2387,South Dakota State University,South,12,2.16
2397,University of South Alabama,University South,28,2.13
2431,University of Indianapolis,UIndy,4,2.07
2432,California Polytechnic State University,Cal Poly,27,2.07
2454,Hofstra University,Hofstra,46,2.03
2457,Wichita State University,Wichita State,11,2.02
2473,Mount Holyoke College,MHC,8,2.0
2475,Missouri State University,Missouri State,4,1.99
2503,Louisiana Tech University,Louisiana,65,1.94
2511,The University of Tulsa,University Tulsa,6,1.93
2516,St. Mary's College of Maryland,SMCM,5,1.93
2534,Trinity University,Trinity,3,1.91
2543,College of Charleston,College,20,1.9
2563,Bowdoin College,Bowdoin,7,1.86
2605,Reed College,Reed,10,1.8
2625,University of Northern Colorado,University Northern,47,1.78
2656,New York Institute of Technology,NYIT,11,1.74
2667,Vassar College,Vassar,6,1.73
2681,North Carolina Agricultural and Technical State University,A&T,25,1.7
2696,Franklin and Marshall College,F&M,4,1.68
2697,Wright State University,Wright State,8,1.68
2704,"California State University, Los Angeles",CSULA,15,1.67
2720,James Madison University,JMU,22,1.65
2775,North Carolina Central University,NCCU,16,1.57
2780,New York Medical College,NYMC,15,1.56
2814,Haverford College,Haverford,9,1.52
2822,Morgan State University,Morgan State,24,1.52
2826,Kennesaw State University,KSU,10,1.51
2890,University of Colorado at Colorado Springs,UCCS,4,1.45
2934,Middlebury College,Middlebury,9,1.42
2942,University of New Haven,University New,5,1.41
2945,Lycoming College,Lycoming,10,1.41
2947,"California State University, Fullerton",CSUF,10,1.41
2962,Oberlin College,Oberlin,11,1.39
2975,Appalachian State University,Appalachian State,21,1.37
3001,Butler University,Butler,4,1.35
3064,Midwestern University,MWU,9,1.29
3105,Swarthmore College,Swarthmore,3,1.25
3134,Southern Illinois University School of Medicine,SIUMED,6,1.22
3142,Georgia Southern University,Georgia,8,1.22
3197,Colorado College,CC,8,1.17
3230,Fairleigh Dickinson University,FDU,3,1.16
3234,"California State University, San Bernardino",CSUSB,5,1.15
3258,Coastal Carolina University,CCU,15,1.14
3259,Occidental College,Occidental,8,1.13
3270,University of the Pacific,UOP,6,1.13
3279,University of New England,UNE,7,1.12
3280,Quinnipiac University,Quinnipiac,4,1.12
3287,Hamilton College,Hamilton,3,1.11
3316,Georgia College and State University,GCSU,2,1.09
3347,Eastern Illinois University,EIU,3,1.07
3376,University of Nebraska at Omaha,University Nebraska,9,1.05
3438,Walla Walla University,WWU-2,1,1.0
3438,Pittsburg State University,Pittsburg State,1,1.0
3469,Lafayette College,Lafayette,7,0.98
3472,Bryn Mawr College,Bryn,4,0.98
3479,University of Houston-Clear Lake,UHCL,3,0.98
3484,Santa Clara University,Santa,4,0.97
3535,University of Tennessee System,University Tennessee,3,0.94
3551,American College of Surgeons,ACS,5,0.93
3593,Hope College,Hope,5,0.9
3600,Calvin University,Calvin,3,0.9
3609,Xavier University of Louisiana,XULA,8,0.89
3612,Sam Houston State University,SHSU,3,0.89
3630,Hawaii Pacific University,HPU,4,0.88
3631,University of Guam,UOG,6,0.88
3632,University of Hawai'i at Hilo,UH Hilo,8,0.88
3688,Northeast Ohio Medical University,NEOMED,6,0.85
3711,St. Olaf College,St-2,5,0.84
