University Name,"City, State",Rank,Tuition and Fees,Undergrad enrollment
Rowan University,"Glassboro, NJ",169,"$28,252(out-of-state) / $17,428(in-state)","16,199"
University of Alabama,"Tuscaloosa, AL",169,"$35,342(out-of-state) / $12,484(in-state)","34,389"
University of Hawaii at Manoa,"Honolulu, HI",169,N/A,N/A
University of Mississippi,"University, MS",169,"$30,310(out-of-state) / $10,150(in-state)","21,585"
California State University--San Bernardino,"San Bernardino, CA",179,"$21,842(out-of-state) / $8,522(in-state)","14,993"
Quinnipiac University,"Hamden, CT",179,"$57,700.00","6,557"
California State University--Fresno,"Fresno, CA",183,"$8,224(out-of-state) / $8,224(in-state)","21,889"
Drake University,"Des Moines, IA",183,"$52,130.00","2,585"
Florida Atlantic University,"Boca Raton, FL",183,"$21,655(out-of-state) / $6,099(in-state)","24,942"
Hofstra University,"Hempstead, NY",183,"$59,960.00","6,581"
Simmons University,"Boston, MA",183,"$48,240.00","1,675"
University of Arkansas,"Fayetteville, AR",183,"$31,550(out-of-state) / $10,496(in-state)","28,859"
University of Detroit Mercy,"Detroit, MI",183,"$33,606.00","3,422"
University of Idaho,"Moscow, ID",183,"$28,636(out-of-state) / $9,400(in-state)","9,574"
East Carolina University,"Greenville, NC",192,"$23,714(out-of-state) / $7,437(in-state)","21,445"
Indiana University Indianapolis,"Indianapolis, IN",192,"$35,227(out-of-state) / $10,762(in-state)","14,504"
Missouri University of Science and Technology,"Rolla, MO",192,"$35,118(out-of-state) / $15,930(in-state)","5,552"
St. John Fisher University,"Rochester, NY",192,"$43,174.00","2,583"
University of Nevada--Reno,"Reno, NV",192,"$28,930(out-of-state) / $10,298(in-state)","19,122"
Washington State University,"Pullman, WA",192,"$30,994(out-of-state) / $13,888(in-state)","21,455"
Adelphi University,"Garden City, NY",198,"$49,110.00","5,325"
Gallaudet University,"Washington, DC",198,"$20,206.00",875
Georgia State University,"Atlanta, GA",198,"$31,320(out-of-state) / $10,500(in-state)","27,438"
Ohio University,"Athens, OH",198,"$25,796(out-of-state) / $14,582(in-state)","19,888"
Oklahoma State University,"Stillwater, OK",198,"$24,764(out-of-state) / $9,244(in-state)","22,351"
